"","PercProtected","ResourceMobility","ProtectedCC","WorkingCC","MeanPayoff","meanTimeWorking"
"131",0.85,0.35,0.0694352941176471,0.0373,3.3745,0.9645551014063
"132",0.9,0.35,0.0729388888888889,0.0611000000000001,3.655,0.965540222501497
"133",0.95,0.35,0.0577842105263158,0.1275,3.133,0.962481386236138
"134",0.05,0.4,0.5038,0.0055421052631579,1.6095,0.96481702308541
"135",0.1,0.4,0.26585,0.00656111111111111,1.4215,0.968899054495086
"136",0.15,0.4,0.1602,0.00732352941176471,1.417,0.965556770553153
"137",0.2,0.4,0.1302,0.00700625,1.458,0.969757964656288
"138",0.25,0.4,0.11098,0.00576,1.8015,0.969587589683666
"139",0.3,0.4,0.0832833333333333,0.00757857142857143,1.56,0.967044919187672
"140",0.35,0.4,0.0710428571428571,0.00765384615384616,1.5575,0.967349435579641
"141",0.4,0.4,0.064325,0.008,1.5815,0.968321751257044
"142",0.45,0.4,0.735666666666667,0.181309090909091,17,0.965181532703691
"143",0.5,0.4,0.95959,0.59697,17,0.971595674733937
"144",0.55,0.4,0.903,0.622222222222222,17,0.969563717938964
"145",0.6,0.4,0.826675,0.575,17,0.967727335878947
"146",0.65,0.4,0.766461538461539,0.514285714285714,17,0.966053162192454
"147",0.7,0.4,0.710057142857143,0.433333333333333,17,0.964857063299514
"148",0.75,0.4,0.6477,0.32,17,0.966586126837564
"149",0.8,0.4,0.0311,0.031725,1.3715,0.967708279832363
"150",0.85,0.4,0.0303647058823529,0.0337,1.567,0.967294151307688
"151",0.9,0.4,0.0285777777777778,0.0518500000000001,1.6225,0.967196803636488
"152",0.95,0.4,0.0270421052631579,0.1163,1.569,0.966918907147799
"153",0.05,0.45,0.3624,0.00598421052631579,1.1105,0.9661025534704
"154",0.1,0.45,0.20175,0.00627777777777778,1.3525,0.96697699391099
"155",0.15,0.45,0.119533333333333,0.00608235294117647,1.2105,0.96623609799749
"156",0.2,0.45,0.0953,0.00655,1.254,0.965063333982947
"157",0.25,0.45,0.07206,0.00494,1.4065,0.96550225065549
"158",0.3,0.45,0.0605833333333333,0.00889285714285714,1.109,0.964922736127536
"159",0.35,0.45,0.0540714285714286,0.0088,1.2535,0.968502504216046
"160",0.4,0.45,0.0470125,0.00776666666666667,1.2475,0.967790842175885
"161",0.45,0.45,0.828088888888889,0.339954545454545,17,0.961203326723717
"162",0.5,0.45,0.97852,0.62653,17,0.967888101159246
"163",0.55,0.45,0.897345454545455,0.622222222222222,17,0.965871134685106
"164",0.6,0.45,0.810708333333333,0.575,17,0.967016283035667
"165",0.65,0.45,0.738330769230769,0.514285714285714,17,0.969989115164652
"166",0.7,0.45,0.675428571428571,0.433333333333333,17,0.966667546185229
"167",0.75,0.45,0.412853333333333,0.32,17,0.967122014930632
"168",0.8,0.45,0.02455625,0.026575,1.379,0.968184528223525
"169",0.85,0.45,0.0215294117647059,0.0268333333333333,1.3035,0.968521026126007
"170",0.9,0.45,0.0202444444444444,0.0572500000000001,1.157,0.966676439592125
"171",0.95,0.45,0.0206368421052632,0.1156,1.3065,0.966419297712535
"172",0.05,0.5,0.2785,0.00532105263157895,0.943,0.964649105412014
"173",0.1,0.5,0.14165,0.00564444444444444,0.9525,0.964881270760627
"174",0.15,0.5,0.0932333333333333,0.00523529411764706,1.0535,0.965340429808284
"175",0.2,0.5,0.07145,0.00625,0.9935,0.965228032265501
"176",0.25,0.5,0.0576,0.00626,1.0525,0.966967252535607
"177",0.3,0.5,0.0459166666666667,0.00697142857142857,0.957,0.964076150300118
"178",0.35,0.5,0.0415142857142857,0.00896923076923077,0.9525,0.969032599392011
"179",0.4,0.5,0.7274875,0.203808333333333,17,0.965345768889263
"180",0.45,0.5,0.865111111111111,0.398272727272727,17,0.962666862565086
"181",0.5,0.5,0.98109,0.63274,17,0.966297974481384
"182",0.55,0.5,0.884536363636364,0.622222222222222,17,0.967080788585034
"183",0.6,0.5,0.788083333333333,0.575,17,0.969887720458842
"184",0.65,0.5,0.704546153846154,0.514285714285714,17,0.968238582629723
"185",0.7,0.5,0.558607142857143,0.433333333333333,17,0.963611334206168
"186",0.75,0.5,0.0176866666666667,0.02402,0.8045,0.966215665505842
"187",0.8,0.5,0.01626875,0.02585,0.846,0.964538579393719
"188",0.85,0.5,0.0156294117647059,0.0357666666666667,0.7825,0.967984005877819
"189",0.9,0.5,0.0159888888888889,0.0498500000000001,1.045,0.967361994532076
"190",0.95,0.5,0.0143368421052632,0.1015,0.9565,0.966804015655354
"191",0.05,0.55,0.2414,0.00572105263157895,0.846,0.965224831275906
"192",0.1,0.55,0.1034,0.00477222222222222,0.79,0.9677932442207
